Year,Month,PACIFIC_comp_1,ATLANTIC_comp_1
1856,1,0.246504,-0.444109
1856,2,0.239866,-0.308811
1856,3,0.175189,-0.328658
1856,4,0.120273,-0.395782
1856,5,0.107513,-0.275922
1856,6,0.099,-0.138158
1856,7,0.0569,-0.167048
1856,8,0.0585,-0.102874
1856,9,-0.00942,-0.0441
1856,10,-0.113051,-0.269883
1856,11,-0.262938,-0.370744
1856,12,-0.388609,-0.286308
1857,1,-0.329717,-0.411436
1857,2,-0.345836,-0.681748
1857,3,-0.351002,-0.755299
1857,4,-0.240956,-0.771686
1857,5,-0.338142,-0.710926
1857,6,-0.338824,-0.554257
1857,7,-0.3281,-0.535674
1857,8,-0.329352,-0.466888
1857,9,-0.311019,-0.350425
1857,10,-0.349571,-0.45187
1857,11,-0.351445,-0.478715
1857,12,-0.264463,-0.39644
1858,1,-0.197902,-0.585865
1858,2,-0.172338,-0.738615
1858,3,-0.169206,-0.488488
1858,4,-0.292276,-0.267207
1858,5,-0.225288,-0.281039
1858,6,-0.220517,-0.472054
1858,7,-0.175519,-0.470425
1858,8,-0.0737,-0.209498
1858,9,-0.0895,-0.076
1858,10,-0.183487,0.0466
1858,11,-0.239574,0.440707
1858,12,-0.312052,0.0536
1859,1,-0.30081,-0.246694
1859,2,-0.282811,-0.327225
1859,3,-0.230505,-0.0547
1859,4,-0.192512,0.144354
1859,5,-0.115328,0.097
1859,6,-0.147601,-0.114641
1859,7,-0.0885,-0.368325
1859,8,-0.0183,-0.272666
1859,9,-0.0269,-0.263228
1859,10,-0.0414,-0.216565
1859,11,-0.126742,-0.123447
1859,12,-0.123472,0.178239
1860,1,-0.254768,0.175869
1860,2,-0.27283,-0.105072
1860,3,-0.272045,-0.162174
1860,4,-0.260922,-0.247604
1860,5,-0.257311,-0.114765
1860,6,-0.243235,-0.172347
1860,7,-0.227635,-0.203671
1860,8,-0.233478,-0.182014
1860,9,-0.197258,-0.40592
1860,10,-0.201827,-0.263281
1860,11,-0.340996,-0.233443
1860,12,-0.391091,-0.398363
1861,1,-0.325624,-0.745007
1861,2,-0.410851,-0.872351
1861,3,-0.446786,-0.751701
1861,4,-0.421609,-0.637301
1861,5,-0.415661,-0.512673
1861,6,-0.353128,-0.45313
1861,7,-0.283006,-0.378857
1861,8,-0.245392,-0.372023
1861,9,-0.307093,-0.148973
1861,10,-0.325024,-0.0928
1861,11,-0.327735,-0.118699
1861,12,-0.328413,-0.076
1862,1,-0.38862,-0.197405
1862,2,-0.41037,-0.212316
1862,3,-0.378241,0.0431
1862,4,-0.263887,0.0192
1862,5,-0.175141,0.0704
1862,6,-0.261207,0.0153
1862,7,-0.273044,-0.0547
1862,8,-0.231683,-0.238967
1862,9,-0.293224,-0.219894
1862,10,-0.409699,-0.179191
1862,11,-0.538172,-0.389762
1862,12,-0.495926,-0.530778
1863,1,-0.45982,-0.590215
1863,2,-0.421921,-0.160058
1863,3,-0.422849,-0.182486
1863,4,-0.394098,-0.129499
1863,5,-0.400586,-0.126216
1863,6,-0.420754,-0.335061
1863,7,-0.371817,-0.742162
1863,8,-0.303702,-0.605463
1863,9,-0.283344,-0.472243
1863,10,-0.242802,-0.56636
1863,11,-0.237556,-0.630262
1863,12,-0.204831,-0.705927
1864,1,-0.368854,-0.805817
1864,2,-0.411476,-0.905004
1864,3,-0.368655,-0.639228
1864,4,-0.32105,-0.57059
1864,5,-0.180837,-0.270355
1864,6,-0.0833,-0.248099
1864,7,-0.0368,-0.274996
1864,8,0.0893,-0.37642
1864,9,0.155939,-0.260741
1864,10,0.200495,-0.193659
1864,11,0.232672,-0.0914
1864,12,0.18727,-0.211599
1865,1,0.180421,-0.158077
1865,2,0.185492,-0.0619
1865,3,0.152546,-0.151219
1865,4,0.140819,-0.0871
1865,5,0.120725,-0.1
1865,6,0.171631,-0.0294
1865,7,0.246576,-0.0236
1865,8,0.226921,0.0617
1865,9,0.290575,0.145598
1865,10,0.339325,-0.000761
1865,11,0.342155,-0.0607
1865,12,0.356144,0.0329
1866,1,0.403786,-0.102616
1866,2,0.357536,0.0327
1866,3,0.343421,-0.115807
1866,4,0.237748,-0.0494
1866,5,0.261222,0.0867
1866,6,0.373172,0.00406
1866,7,0.389727,-0.129114
1866,8,0.279769,-0.021
1866,9,0.181153,-0.0572
1866,10,0.141961,0.0712
1866,11,0.107155,-0.0441
1866,12,0.03,-0.295594
1867,1,0.0809,-0.169621
1867,2,0.067,0.0361
1867,3,0.147765,-0.0166
1867,4,0.122964,-0.0291
1867,5,0.179094,-0.134889
1867,6,0.171318,-0.216063
1867,7,0.194547,-0.265819
1867,8,0.193014,-0.342111
1867,9,0.168816,-0.427476
1867,10,0.077,-0.321595
1867,11,0.0313,-0.435124
1867,12,0.0688,-0.201189
1868,1,0.0787,-0.216733
1868,2,0.0936,-0.180692
1868,3,0.162393,-0.092
1868,4,0.0974,-0.319376
1868,5,0.148657,-0.290594
1868,6,0.099,-0.24887
1868,7,0.161094,-0.317568
1868,8,0.18234,-0.424557
1868,9,0.283883,-0.12056
1868,10,0.266689,-0.375768
1868,11,0.353282,-0.191066
1868,12,0.318827,-0.171464
1869,1,0.230552,-0.282636
1869,2,0.148607,-0.216476
1869,3,0.102995,-0.348102
1869,4,0.0465,-0.319669
1869,5,-0.0297,-0.391354
1869,6,-0.120107,-0.232256
1869,7,-0.151281,-0.388156
1869,8,-0.241056,-0.301517
1869,9,-0.379076,-0.0618
1869,10,-0.290786,-0.21322
1869,11,-0.28256,-0.331547
1869,12,-0.305561,-0.456146
1870,1,-0.333093,-0.361777
1870,2,-0.286908,-0.321587
1870,3,-0.262262,-0.452441
1870,4,-0.200515,-0.472221
1870,5,-0.312973,-0.535655
1870,6,-0.363985,-0.467864
1870,7,-0.335321,-0.240965
1870,8,-0.314606,-0.311959
1870,9,-0.309531,-0.387561
1870,10,-0.385608,-0.199683
1870,11,-0.410584,-0.283729
1870,12,-0.314004,-0.277097
1871,1,-0.253493,-0.430845
1871,2,-0.248876,-0.237877
1871,3,-0.204425,-0.203065
1871,4,-0.142591,-0.21293
1871,5,-0.167314,0.00234
1871,6,-0.292984,-0.0269
1871,7,-0.162565,-0.114799
1871,8,-0.173099,-0.335072
1871,9,-0.14887,-0.316308
1871,10,-0.154157,-0.316449
1871,11,-0.146714,-0.177852
1871,12,-0.203069,-0.0779
1872,1,-0.298054,-0.144857
1872,2,-0.302834,-0.303841
1872,3,-0.31396,-0.410698
1872,4,-0.334096,-0.427614
1872,5,-0.246305,-0.325725
1872,6,-0.248354,-0.133459
1872,7,-0.31591,-0.0921
1872,8,-0.368813,-0.0243
1872,9,-0.478819,0.0558
1872,10,-0.434608,-0.0373
1872,11,-0.414246,-0.075
1872,12,-0.360467,-0.214636
1873,1,-0.399937,-0.0286
1873,2,-0.471881,-0.0371
1873,3,-0.429455,0.0642
1873,4,-0.330269,0.129003
1873,5,-0.25559,-0.137
1873,6,-0.301013,-0.257817
1873,7,-0.346203,-0.0887
1873,8,-0.283371,-0.14552
1873,9,-0.221505,-0.104635
1873,10,-0.278116,-0.100179
1873,11,-0.371122,-0.1384
1873,12,-0.409387,-0.297107
1874,1,-0.371992,-0.43077
1874,2,-0.423446,-0.598655
1874,3,-0.388827,-0.570222
1874,4,-0.393214,-0.838792
1874,5,-0.355606,-0.589891
1874,6,-0.382895,-0.429671
1874,7,-0.384562,-0.330681
1874,8,-0.523876,-0.520605
1874,9,-0.536955,-0.457837
1874,10,-0.528455,-0.519022
1874,11,-0.570551,-0.536292
1874,12,-0.430832,-0.65887
1875,1,-0.286871,-0.17152
1875,2,-0.330773,0.0857
1875,3,-0.292503,-0.000462
1875,4,-0.362535,-0.0761
1875,5,-0.35833,0.132557
1875,6,-0.349116,-0.086
1875,7,-0.369084,-0.0178
1875,8,-0.404476,-0.24577
1875,9,-0.33129,-0.0624
1875,10,-0.289003,-0.0572
1875,11,-0.249281,-0.0269
1875,12,-0.268865,0.0862
1876,1,-0.337438,-0.177416
1876,2,-0.361176,-0.168029
1876,3,-0.323696,-0.128157
1876,4,-0.422145,-0.296998
1876,5,-0.368199,-0.312037
1876,6,-0.304749,-0.362029
1876,7,-0.201051,-0.294296
1876,8,-0.22067,-0.234248
1876,9,-0.249644,-0.227085
1876,10,-0.0944,-0.375191
1876,11,-0.0437,-0.507898
1876,12,0.0448,-0.458041
1877,1,0.129943,-0.408579
1877,2,0.137335,-0.214456
1877,3,0.152921,-0.14343
1877,4,0.240854,-0.0117
1877,5,0.16565,0.0904
1877,6,0.309744,0.0528
1877,7,0.537255,0.104099
1877,8,0.603446,0.262832
1877,9,0.709851,0.340313
1877,10,0.732415,0.237229
1877,11,0.717454,0.175455
1877,12,0.79147,-0.0216
1878,1,0.891988,-0.194093
1878,2,0.871491,-0.0266
1878,3,0.730057,0.135615
1878,4,0.566922,0.30288
1878,5,0.517443,-0.0704
1878,6,0.4199,-0.135701
1878,7,0.341063,-0.157928
1878,8,0.127797,0.112012
1878,9,-0.0655,0.0309
1878,10,-0.067,-0.144274
1878,11,-0.0721,-0.3003
1878,12,-0.0372,-0.334685
1879,1,-0.0259,-0.415091
1879,2,0.0403,-0.493277
1879,3,-0.0173,-0.642389
1879,4,-0.0715,-0.636157
1879,5,-0.0792,-0.552913
1879,6,-0.195254,-0.454291
1879,7,-0.237877,-0.422762
1879,8,-0.357849,-0.444495
1879,9,-0.284039,-0.479129
1879,10,-0.360154,-0.347727
1879,11,-0.319561,-0.175699
1879,12,-0.418064,-0.164708
1880,1,-0.476658,-0.160245
1880,2,-0.26614,-0.309091
1880,3,-0.17057,-0.362765
1880,4,-0.180549,-0.619358
1880,5,-0.218828,-0.582718
1880,6,-0.295567,-0.615758
1880,7,-0.331685,-0.581225
1880,8,-0.17931,-0.573737
1880,9,-0.200805,-0.393589
1880,10,-0.0264,-0.383845
1880,11,0.0528,-0.390138
1880,12,0.175574,-0.234897
1881,1,0.115985,-0.0986
1881,2,0.0578,-0.083
1881,3,0.0897,0.0239
1881,4,0.151102,0.0413
1881,5,0.170487,-0.0471
1881,6,0.0771,-0.151326
1881,7,0.0445,0.00504
1881,8,-0.00704,-0.200337
1881,9,-0.120694,-0.226165
1881,10,-0.110241,-0.21804
1881,11,-0.222475,-0.410075
1881,12,-0.196185,-0.267744
1882,1,-0.164066,-0.219599
1882,2,-0.171865,-0.256522
1882,3,-0.108661,-0.187692
1882,4,-0.00882,-0.25519
1882,5,-0.0764,-0.358569
1882,6,-0.326682,-0.431848
1882,7,-0.250926,-0.363637
1882,8,-0.248163,-0.287359
1882,9,-0.136483,-0.284259
1882,10,-0.2661,-0.333423
1882,11,-0.279441,-0.295223
1882,12,-0.279492,-0.329738
1883,1,-0.145969,-0.36542
1883,2,-0.0898,-0.258242
1883,3,-0.0273,-0.163015
1883,4,-0.0695,-0.200553
1883,5,-0.0574,-0.120381
1883,6,0.025,-0.237053
1883,7,-0.0465,-0.33512
1883,8,-0.0513,-0.224401
1883,9,-0.0386,-0.297946
1883,10,-0.106169,-0.400948
1883,11,-0.068,-0.332542
1883,12,-0.14611,-0.226974
1884,1,-0.10594,-0.156239
1884,2,-0.061,-0.278142
1884,3,-0.00584,-0.40948
1884,4,0.0511,-0.307629
1884,5,0.109145,-0.358874
1884,6,0.0314,-0.261201
1884,7,0.0368,-0.320111
1884,8,0.103686,-0.348253
1884,9,0.074,-0.282646
1884,10,0.110318,-0.393378
1884,11,0.151424,-0.620579
1884,12,0.167162,-0.484211
1885,1,0.206627,-0.421706
1885,2,0.0892,-0.247567
1885,3,0.107949,-0.287028
1885,4,0.157364,-0.316107
1885,5,0.162195,-0.213554
1885,6,0.0596,-0.289294
1885,7,0.0861,-0.0394
1885,8,0.149952,0.0541
1885,9,0.301467,-0.101786
1885,10,0.370858,-0.0287
1885,11,0.352423,-0.122883
1885,12,0.292424,-0.0936
1886,1,0.177416,0.00974
1886,2,0.0479,-0.0411
1886,3,0.146542,0.174188
1886,4,0.0919,0.247547
1886,5,0.0294,0.0503
1886,6,-0.162,0.0523
1886,7,-0.19154,-0.0259
1886,8,-0.290028,-0.027
1886,9,-0.289705,-0.0897
1886,10,-0.418138,-0.18986
1886,11,-0.365551,-0.22617
1886,12,-0.471251,-0.336037
1887,1,-0.378577,-0.49044
1887,2,-0.381801,-0.602497
1887,3,-0.294249,-0.427781
1887,4,-0.370548,-0.349014
1887,5,-0.318946,-0.377413
1887,6,-0.331252,-0.367518
1887,7,-0.222185,-0.353126
1887,8,-0.298114,-0.367072
1887,9,-0.230899,-0.233796
1887,10,-0.148395,-0.139058
1887,11,-0.0582,-0.282598
1887,12,-0.0235,-0.419762
1888,1,0.052,-0.437649
1888,2,0.150223,-0.54166
1888,3,0.228095,-0.350316
1888,4,0.108992,-0.454899
1888,5,0.211718,-0.423213
1888,6,0.233816,-0.519662
1888,7,0.224988,-0.331233
1888,8,0.316801,-0.236691
1888,9,0.466645,-0.106518
1888,10,0.599175,-0.00159
1888,11,0.659732,0.0261
1888,12,0.662577,0.116602
1889,1,0.66028,0.161214
1889,2,0.53808,0.142998
1889,3,0.461223,0.167451
1889,4,0.337753,0.0767
1889,5,0.320422,0.108034
1889,6,0.141657,-0.00206
1889,7,0.0588,0.0948
1889,8,-0.171878,0.0571
1889,9,-0.228636,0.0027
1889,10,-0.370289,-0.0237
1889,11,-0.393601,0.00154
1889,12,-0.381998,-0.0419
1890,1,-0.472174,-0.0114
1890,2,-0.369053,-0.216864
1890,3,-0.265437,-0.383009
1890,4,-0.247047,-0.338647
1890,5,-0.219111,-0.342917
1890,6,-0.334186,-0.343965
1890,7,-0.356631,-0.435866
1890,8,-0.433491,-0.545784
1890,9,-0.432304,-0.474217
1890,10,-0.482332,-0.514334
1890,11,-0.398379,-0.557737
1890,12,-0.161946,-0.400164
1891,1,-0.0754,-0.410444
1891,2,-0.0401,-0.352996
1891,3,-0.0258,-0.33045
1891,4,0.0843,-0.256604
1891,5,0.160617,-0.256348
1891,6,0.0877,-0.360677
1891,7,0.0307,-0.41287
1891,8,0.0906,-0.387875
1891,9,0.0172,-0.283718
1891,10,0.0293,-0.106656
1891,11,0.0256,-0.315483
1891,12,-0.00233,-0.269386
1892,1,0.0276,-0.205675
1892,2,0.0158,-0.138398
1892,3,-0.0953,-0.0745
1892,4,-0.22376,-0.32589
1892,5,-0.151177,-0.621353
1892,6,-0.238931,-0.653913
1892,7,-0.451449,-0.518218
1892,8,-0.511234,-0.350788
1892,9,-0.566437,-0.339603
1892,10,-0.691057,-0.351718
1892,11,-0.683749,-0.432152
1892,12,-0.579337,-0.287288
1893,1,-0.555938,-0.536742
1893,2,-0.547433,-0.54321
1893,3,-0.442791,-0.500073
1893,4,-0.445122,-0.638974
1893,5,-0.551036,-0.416173
1893,6,-0.587214,-0.208889
1893,7,-0.522218,-0.133189
1893,8,-0.56645,0.0281
1893,9,-0.571523,-0.0889
1893,10,-0.557688,-0.124208
1893,11,-0.583388,-0.13558
1893,12,-0.487441,-0.252817
1894,1,-0.539222,-0.297084
1894,2,-0.486501,-0.323348
1894,3,-0.426271,-0.335797
1894,4,-0.348721,-0.316524
1894,5,-0.409408,-0.341929
1894,6,-0.402376,-0.309576
1894,7,-0.306164,-0.302977
1894,8,-0.363654,-0.43705
1894,9,-0.319768,-0.445286
1894,10,-0.309446,-0.266124
1894,11,-0.218407,-0.235756
1894,12,-0.194191,-0.0845
1895,1,-0.112817,-0.0249
1895,2,-0.149185,0.00791
1895,3,-0.116499,-0.137
1895,4,-0.0847,-0.158361
1895,5,-0.0856,-0.173863
1895,6,-0.134305,-0.296175
1895,7,-0.114523,-0.265927
1895,8,0.00646,-0.180132
1895,9,0.0765,-0.101036
1895,10,0.129293,0.0506
1895,11,0.206751,0.00291
1895,12,0.0801,-0.055
1896,1,0.0484,-0.102194
1896,2,0.00509,-0.0279
1896,3,0.103773,-0.0882
1896,4,0.114155,-0.0645
1896,5,0.0495,0.0266
1896,6,0.105122,-0.16348
1896,7,0.217814,-0.123617
1896,8,0.361333,-0.263996
1896,9,0.385206,-0.0329
1896,10,0.421571,0.105354
1896,11,0.548478,0.101115
1896,12,0.618358,0.133374
1897,1,0.601575,0.0516
1897,2,0.487806,0.0727
1897,3,0.416987,0.311079
1897,4,0.325303,0.286083
1897,5,0.241205,0.105922
1897,6,0.165147,-0.0562
1897,7,0.207483,0.0868
1897,8,0.123646,0.015
1897,9,0.0707,0.0301
1897,10,-0.0269,0.0919
1897,11,-0.124945,-0.0719
1897,12,-0.0793,-0.140412
1898,1,-0.126212,-0.419932
1898,2,-0.192838,-0.53563
1898,3,-0.200165,-0.470279
1898,4,-0.198903,-0.444827
1898,5,-0.175223,-0.404873
1898,6,-0.129412,-0.386076
1898,7,-0.197088,-0.498075
1898,8,-0.247806,-0.498581
1898,9,-0.198483,-0.246483
1898,10,-0.186784,-0.218298
1898,11,-0.21776,-0.0835
1898,12,-0.252078,-0.0148
1899,1,-0.268027,-0.122296
1899,2,-0.276058,-0.0307
1899,3,-0.204483,-0.0576
1899,4,-0.247149,-0.0213
1899,5,-0.145934,0.0201
1899,6,-0.143638,0.0628
1899,7,-0.0265,0.0513
1899,8,0.160634,0.0812
1899,9,0.177315,0.00233
1899,10,0.300365,0.0396
1899,11,0.398632,-0.104781
1899,12,0.491027,-0.134639
1900,1,0.45306,-0.358043
1900,2,0.438379,-0.317342
1900,3,0.345092,-0.355489
1900,4,0.366422,-0.227131
1900,5,0.315935,-0.251683
1900,6,0.260341,-0.170724
1900,7,0.224587,-0.0596
1900,8,0.173961,-0.117987
1900,9,0.18465,-0.0703
1900,10,0.200136,-0.0263
1900,11,0.16516,-0.00141
1900,12,0.264529,0.0488
1901,1,0.257065,0.0243
1901,2,0.14698,0.0905
1901,3,0.100945,0.0628
1901,4,0.0958,0.12788
1901,5,-0.0389,0.0453
1901,6,-0.0992,-0.0213
1901,7,-0.131647,-0.0102
1901,8,-0.0617,0.000793
1901,9,-0.124534,-0.118648
1901,10,-0.0898,-0.132178
1901,11,-0.12159,-0.220802
1901,12,-0.108797,-0.249955
1902,1,-0.0549,-0.3006
1902,2,-0.00741,-0.139727
1902,3,0.0021,-0.16033
1902,4,0.0783,-0.0919
1902,5,0.139745,-0.1215
1902,6,0.175896,-0.283916
1902,7,0.33316,-0.300697
1902,8,0.414019,-0.405738
1902,9,0.46603,-0.333713
1902,10,0.508726,-0.32051
1902,11,0.506147,-0.428878
1902,12,0.468256,-0.241751
1903,1,0.405111,-0.301648
1903,2,0.290384,-0.351917
1903,3,0.183105,-0.460789
1903,4,0.0153,-0.425986
1903,5,-0.0251,-0.455024
1903,6,-0.0549,-0.487554
1903,7,-0.102283,-0.533595
1903,8,-0.199816,-0.655043
1903,9,-0.248988,-0.668453
1903,10,-0.267971,-0.630383
1903,11,-0.327563,-0.682658
1903,12,-0.418961,-0.661036
1904,1,-0.380428,-0.747216
1904,2,-0.380445,-0.802746
1904,3,-0.300876,-0.764407
1904,4,-0.247799,-0.825418
1904,5,-0.206041,-0.675844
1904,6,-0.192195,-0.704411
1904,7,-0.153549,-0.694639
1904,8,-0.0387,-0.636811
1904,9,0.05,-0.601503
1904,10,0.157227,-0.623448
1904,11,0.202795,-0.525467
1904,12,0.293704,-0.437365
1905,1,0.288874,-0.488127
1905,2,0.284104,-0.541841
1905,3,0.242295,-0.646853
1905,4,0.13952,-0.566747
1905,5,0.242547,-0.360036
1905,6,0.273279,-0.514897
1905,7,0.271467,-0.477612
1905,8,0.356943,-0.467114
1905,9,0.454199,-0.445406
1905,10,0.402703,-0.375272
1905,11,0.418499,-0.456049
1905,12,0.413641,-0.297356
1906,1,0.42318,-0.29617
1906,2,0.356068,-0.305953
1906,3,0.254329,-0.255684
1906,4,0.134714,-0.307933
1906,5,0.0473,-0.459175
1906,6,0.0392,-0.485687
1906,7,-0.037,-0.529151
1906,8,-0.20584,-0.524819
1906,9,-0.190174,-0.521631
1906,10,-0.259379,-0.582408
1906,11,-0.252119,-0.551269
1906,12,-0.183678,-0.592367
1907,1,-0.173665,-0.608622
1907,2,-0.146231,-0.568363
1907,3,-0.161087,-0.398728
1907,4,-0.10604,-0.463084
1907,5,-0.052,-0.461981
1907,6,-0.0333,-0.599875
1907,7,-0.0127,-0.568586
1907,8,-0.134606,-0.396176
1907,9,-0.0646,-0.297269
1907,10,-0.0531,-0.413469
1907,11,-0.0964,-0.549692
1907,12,-0.0267,-0.673653
1908,1,-0.00979,-0.787587
